source_id,subject,relative_path,parser,status,units,unit_count,text_chars,formula_count,table_count,embedded_visual_count,notes
SRC-0110,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 163950.png,Pillow,parsed,pixels,281050,,,,1,1022x275; mode=RGBA
SRC-0111,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 164141.png,Pillow,parsed,pixels,258660,,,,1,479x540; mode=RGBA
SRC-0112,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 164722.png,Pillow,parsed,pixels,272376,,,,1,468x582; mode=RGBA
SRC-0113,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165210.png,Pillow,parsed,pixels,944460,,,,1,1188x795; mode=RGBA
SRC-0114,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165421.png,Pillow,parsed,pixels,928710,,,,1,1214x765; mode=RGBA
SRC-0115,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165434.png,Pillow,parsed,pixels,729015,,,,1,1113x655; mode=RGBA
SRC-0116,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165555.png,Pillow,parsed,pixels,803000,,,,1,1000x803; mode=RGBA
SRC-0117,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165721.png,Pillow,parsed,pixels,71010,,,,1,526x135; mode=RGBA
SRC-0118,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165941.png,Pillow,parsed,pixels,434395,,,,1,815x533; mode=RGBA
SRC-0119,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 170057.png,Pillow,parsed,pixels,225500,,,,1,1025x220; mode=RGBA
SRC-0120,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 174542.png,Pillow,parsed,pixels,236368,,,,1,869x272; mode=RGBA
SRC-0121,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175623.png,Pillow,parsed,pixels,626171,,,,1,983x637; mode=RGBA
SRC-0122,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175651.png,Pillow,parsed,pixels,617855,,,,1,973x635; mode=RGBA
SRC-0123,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175735.png,Pillow,parsed,pixels,686784,,,,1,876x784; mode=RGBA
SRC-0124,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175847.png,Pillow,parsed,pixels,446957,,,,1,469x953; mode=RGBA
SRC-0125,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175859.png,Pillow,parsed,pixels,100608,,,,1,192x524; mode=RGBA
SRC-0126,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175908.png,Pillow,parsed,pixels,109140,,,,1,428x255; mode=RGBA
SRC-0127,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175914.png,Pillow,parsed,pixels,123123,,,,1,429x287; mode=RGBA
SRC-0128,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175922.png,Pillow,parsed,pixels,760494,,,,1,953x798; mode=RGBA
SRC-0129,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 180339.png,Pillow,parsed,pixels,716957,,,,1,911x787; mode=RGBA
SRC-0130,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 191333.png,Pillow,parsed,pixels,243540,,,,1,495x492; mode=RGBA
SRC-0131,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 191733.png,Pillow,parsed,pixels,747100,,,,1,964x775; mode=RGBA
SRC-0132,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 192021.png,Pillow,parsed,pixels,894574,,,,1,1411x634; mode=RGBA
SRC-0133,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 193003.png,Pillow,parsed,pixels,267595,,,,1,491x545; mode=RGBA
SRC-0134,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 193556.png,Pillow,parsed,pixels,132731,,,,1,401x331; mode=RGBA
SRC-0135,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 195211.png,Pillow,parsed,pixels,77695,,,,1,379x205; mode=RGBA
SRC-0136,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 200628.png,Pillow,parsed,pixels,419650,,,,1,770x545; mode=RGBA
SRC-0137,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 201112.png,Pillow,parsed,pixels,393492,,,,1,726x542; mode=RGBA
SRC-0138,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 201540.png,Pillow,parsed,pixels,290157,,,,1,1011x287; mode=RGBA
SRC-0139,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202315.png,Pillow,parsed,pixels,799365,,,,1,993x805; mode=RGBA
